Date,ID,Milestone,Detail,URL,summary_of_measure_change,introduced_by,targeted_at,when_introduced_duration,why_stated_aims,how_key_components_and_mechanisms,url_key_docs,category,subcategory,notes,transport_policy
2020-03-26T00:00:00Z,2.64000000000001,NA,NA,NA,"Government writes to local authority chief executives to highlight the support needed for rough sleepers, including providing access to facilities that enable them to adhere to public health guidance on hygiene or isolation","Ministry of Housing, Communities
& Local Government",Local Authorities,Published 26 March 2020,NA,NA,Gov.uk_letter,Measures to limit spread,Non-health and social care settings,NA,Wider policies
2020-03-27T00:00:00Z,2.65000000000001,NA,NA,NA,Guidance published for the public on using green spaces,"Department for Environment, Food & Rural Affairs, Forestry Commission, Environment Agency, and Natural England",General public,Published 27 March 2020. Guidance later updated e.g. on 3 April 2020 additional guidance on dog walking added,"The government’s priority is to save lives and the best way to protect yourself and others from illness is to stay at home...However, exercise is still important for people’s physical and mental wellbeing, so the government has said people can leave their homes for exercise once a day'","Guidance states that people should stay local and use open spaces near to their home, only go outside with members of their household and keep at least two metres apart from anyone outside the household. Gatherings of more than two in parks or public spaces have been banned and the police will enforce this. People should take hygiene precautions when outside, and wash their hands as soon as they are back indoors.",Gov.uk_news,Measures to limit spread,Social distancing measures,NA,Wider policies
2020-03-27T00:00:00Z,2.66000000000001,NA,NA,NA,Government launches new drive on tests for front line NHS staff,Department of Health and Social Care,NHS staff,Announced 27 March 2020,Matt Hancock: 'Healthcare staff are key in our fight against the virus and I want to ensure that any front line NHS or care worker who has symptoms of coronavirus or who has a family member with symptoms can be tested quickly and reliably.',"The government is working with industry, philanthropy and universities to significantly scale up testing. A new partnership has been made with Thermo Fisher Scientific, Amazon, Boots, Royal Mail and Randox, alongside the Wellcome Trust and top UK universities to boost testing capacity for front line NHS staff. Dozens of universities, research institutes and companies across Britain are lending their testing equipment to 3 new hub laboratories which will be set up for the duration of the crisis.",Gov.uk_news,Measures to limit spread,"Testing, surveillance and contact tracing",NA,Wider policies
2020-03-29T00:00:00Z,2.67000000000001,NA,NA,NA,Government publishes FAQs for public on 'what you can and can't do' during the COVID-19 outbreak,Cabinet Office,General public,Published 29 March 2020. Guidance later updated and logged separately on 11 May 2020,not stated,"FAQs on what people can and can't do includes information on: leaving the house, attending medical appointments, going to work, seeing friends and relatives, moving house, accessing green spaces, and the consequences of breaking rules.",Gov.uk_guidance,Measures to limit spread,Informing the public,NA,Wider policies
2020-03-29T00:00:00Z,2.68000000000001,NA,NA,NA,"Guidance published on keeping court and tribunal buildings safe, secure and clean",HM Courts & Tribunals Service,Court and tribunal buildings,Published 29 March 2020. Guidance later updated,NA,NA,Gov.uk_guidance,Measures to limit spread,Non-health and social care settings,NA,Wider policies
2020-03-30T00:00:00Z,2.69000000000001,NA,NA,NA,Government announces specialist units to combat the spread of misinformation about COVID-19,"Cabinet Office, Department for Digital, Culture, Media & Sport, The Rt Hon Oliver Dowden CBE MP, and The Rt Hon Penny Mordaunt MP",General public,Announced 30 March 2020,"To combat false and misleading narratives about coronavirus, ensuring the public has the right information to protect themselves and save lives.
","The Rapid Response Unit, operating from within the Cabinet Office and Number 10, is tackling a range of harmful narratives online – from purported ‘experts’ issuing dangerous misinformation to criminal fraudsters running phishing scams. Up to 70 incidents a week, often false narratives containing multiple misleading claims, are being identified and resolved. The successful ‘Don’t Feed the Beast’ public information campaign will also relaunch next week, to empower people to question what they read online.",Gov.uk_press release,Measures to limit spread,Informing the public,NA,Wider policies
2020-03-31T00:00:00Z,2.70000000000001,NA,NA,NA,Guidance published for the care of the deceased with suspected or confirmed COVID-19,Public Health England,Professionals who are required to manage bodies and those may come into contact with bodies,"Published 31 March 2020. Guidance 'remains under review and may be updated in line with the changing situation as required'. Guidance later updated e.g. on 12 May 2020 updated guidance on sharing information with others, residual risk of infection from the deceased and the use of body bags, and the use of PPE for those who are responsible for care of the deceased and on 15 May 2020 Added clarification on guidance and legislation
","To ensure that (a) the bodies of those people who have died as a result of COVID-19 and the bereaved family of the deceased are treated with sensitivity, dignity and respect (b) people who work in these services and mourners are protected from infection","Guidance for professionals who are required to manage bodies of deceased persons infected with COVID-19, healthcare workers (secondary care and primary care) who come into contact with a body that may be infectious, members of the public who identify a death in the community, residential care settings including care homes and hospices, first responders managing a death in the community, and communities managing a death.",Gov.uk_guidance,Measures to limit spread,Infection prevention and control,NA,Wider policies
2020-03-31T00:00:00Z,2.71000000000001,NA,NA,NA,Guidance published stating that people should not take part in recreational flying during the COVID-19 outbreak,Department for Transport and Civil Aviation Authority,general public,Published 31 March 2020. Guidance later updated e.g. 15 May 2020 limited relaxation of restrictions made,NA,NA,Gov.uk_guidance ,Measures to limit spread,Travel measures,NA,Transport-specific policy
2020-04-01T00:00:00Z,2.72000000000001,NA,NA,NA,NHS England and Improvement ask Chief Executives of all NHS trusts that host a lab doing COVID-19 testing to personally to ensure that their lab's capacity is 'fully used every day',NHS England and Improvement,Chief Executives of all NHS trusts and Foundation Trusts,Effective from 01 April 2020,...as lab capacity is increasing we now can and must further increase staff/index case testing...',"Letter asks chief executives of NHS trusts that host an NHS lab doing COVID-19 testing 'personally to ensure that your lab's capacity is fully used each and every day'. This can be achieved by 'using all spare testing for staff/index testing, either from within your own organisation or those of neighbouring acute and ambulance trusts'
",NHS EI_letter,Measures to limit spread,"Testing, surveillance and contact tracing",NA,Wider policies
2020-04-02T00:00:00Z,2.73,NA,NA,NA,Guidance published on the admission and care of people in care homes [under review],"Department of Health and Social Care, Care Quality Commission, Public Health England, and NHS England","This guidance is for care homes, local health protection teams, local authorities, CCGs and registered providers of accommodation for people who need personal or nursing care.",Published 2 April 2020. Guidance is being reviewed following publication of the COVID-19 Adult Social Care Action Plan on 15 April. Later updated e.g. on 19 May to add anosmia as a symptom of coronavirus,"We want to support Care Home Providers to protect their staff and residents, ensuring that each person is getting the right care in the most appropriate setting for their needs... We know that to do this care homes need to have access to the right knowledge, staff and resources, so they are equipped to deliver care in this challenging time...We also need care homes to continue to make their full capacity available to support the national effort, both in terms of beds and their skilled care staff. Helping to move patients who no longer require acute care into the most appropriate setting will help to save thousands of lives.'","Guidance on 2 April 2020 covers (a) admission of residents, including testing requirements (b) caring for residents depending on COVID-19 status (c) reporting COVID-19 cases – more than two cases need to be reported to the HTPT (d) providing care after death (e) advice for staff on PPE (logged separately) and when to isolate (f) supporting existing residents that may require hospital care, including postponing routine non-essential medical and other appointments.",Gov.uk_guidance,Measures to limit spread,Health and social care settings,NA,Wider policies
2020-04-02T00:00:00Z,2.74000000000001,NA,NA,NA,"Health Secretary announces 'five pillar plan' to carry out 100,000 tests a day across the UK",Department of Health and Social Care,General public,"Announced 2 April 2020. 100,000 tests a day to be delivered by end of April 2020. 25,000 tests a day for those with medical need and critical workers to be delivered by mid to late April 2020","New testing capabilities for the NHS and their families will support staff who are isolating at home to return safely to work if the test is negative, and keep themselves and others safe if the test is positive.","The 5-pillar plan outlines the government's ambition to: scale up swab testing in PHE labs and NHS hospitals for those with a medical need and the most critical workers to 25,000 a day in England by mid to late April; deliver increased commercial swab testing for critical key workers in the NHS across the UK, before then expanding to key workers in other sectors; develop antibody blood testing; conduct UK-wide surveillance testing to learn more about the spread of the disease and help develop new tests and treatments; and, create a new national effort for testing, to build a mass-testing capacity for the UK.",Gov.uk_press release,Measures to limit spread,"Testing, surveillance and contact tracing",NA,Wider policies
2020-04-02T00:00:00Z,2.75,NA,NA,NA,Guidance on infection prevention and control measures for health care providers is updated to reflect new definition of contact and new requirements for handwashing and reuse of PPE,Public Health England,Health and social care providers,Updated  2 April 2020. Major later updates logged separately,"PHE has worked with NHSEI and the Devolved Administrations to review the UK’s infection prevention and control recommendations for COVID-19. PHE also consulted with the Royal College of Nursing, other Royal Colleges and professional societies.

Having assessed the available evidence and feedback received from guidance users, we have updated sections to improve the guidance and ensure that we continue to make recommendations that will help prevent the spread of COVID-19 and keep people safe.","Main changes to the guidance include: (a) new tables to explain PPE use in different clinical scenarios (b) the guidance explains that in some circumstances PPE can be worn for an entire session (such as a ward round) and does not need to be changed between each patient (c) patient contact is now defined as being within 2 metres (rather than within 1 metre) of a patient (d) hand-washing advice has been updated to include washing of forearms, when forearms have been exposed or may have been exposed (e) FFP2 and N95 respirators may be used for some aerosol-generating procedures if FFP3 respirators are not available (f) advice on re-usable PPE components, including the need to refer to manufacturer’s guidance on decontamination (g) recommendations about the use of facemasks by patients.",Gov.uk_guidance ,Measures to limit spread,Health and social care settings,Original IPC guidance published 10 January,Wider policies
2020-04-03T00:00:00Z,2.76000000000001,NA,NA,NA,Local authorities in England handed new powers to hold public meetings virtually by using video or telephone conferencing technology,"Ministry of Housing, Communities & Local Government and The Rt Hon Robert Jenrick MP",Local authorities in England,Announced 3 April 2020,Change ensures effective local decision making and transparency during the national effort to fight the COVID-19 pandemic,Government removes requirement for physical attendance at meetings. Public will still have access to public meetings through remote means.,Gov.uk_news,Measures to limit spread,Legal change,NA,Wider policies
2020-04-04T00:00:00Z,2.77,NA,NA,NA,The Department of Health and Social Care publish a strategy setting out how the government intends to scale up its testing programmes,Department of Health and Social Care,na,"From this week the NHS will be using all their spare capacity to test critical front line key workers. By end of April will complete the pilot of new commercial swab testing programme and are aiming to offer tens of thousands of swab tests per day. In early April we will complete our evaluation of the antibody test kits and share the results. Over April we will continue programme to survey the population, to support the development of new tests and treatments",Testing is a key pillar of our strategy to protect the NHS and save lives,"Testing strategy consists of: Scaling up NHS swab testing for those with a medical need and, where possible, the most critical key workers; Mass-swab testing for critical key workers in the NHS, social care and other sectors; Mass-antibody testing to help determine if people have immunity to COVID-19; Surveillance testing to learn more about the disease and help develop new tests and treatments; Spearheading a Diagnostics National Effort to build a mass-testing capacity at a completely new scale",Gov.uk_strategy,Measures to limit spread,"Testing, surveillance and contact tracing",NA,Wider policies
2020-04-04T00:00:00Z,2.78,NA,NA,NA,"Guidance is published on the management of staff and patients who have been exposed to COVID-19 in health and social care settings
",Public Health England,Staff and patients in health and social care settings,Published 4 April 2020. Updated frequently since e.g. 22 May 2020 'clarifying that second episodes of symptoms require isolation and repeat testing' and on 4 June added new section on Test and Trace,To avoid spreading infections in healthcare settings,"As at 22 May 2020, guidance covers (1) Staff exposures: what to do if a health or social care worker develops symptoms (2) Staff return to work criteria for staff who are (a) asymptomatic when tested (b) symptomatic when tested (3) Patient exposures in hospital (4) Resident exposures in care settings",Gov.uk_guidance,NA,NA,NA,Wider policies
2020-04-06T00:00:00Z,2.79,NA,NA,NA,The UK Vaccine Taskforce prepares a paper on its role and objectives. It was considered at SAGE 26 on 16 April 2020,UK Vaccine Taskforce,na,"Paper considered at SAGE 26 on 16 April 2020. Government states: 'It should be viewed in context: the paper was the best assessment of the evidence at the time of writing...Therefore, some of the information in this paper may have been superseded and the author’s opinion or conclusion may since have developed.'",NA,NA,Gov.uk_SAGE paper,Measures to limit spread,Vaccine,NA,Wider policies
2020-04-06T00:00:00Z,2.8,NA,NA,NA,Regulations are made under the Coronavirus Act 2020 to enable local authority meetings to be held remotely and the postponement of elections and other polls,"Ministry of Housing, Communities and Local Government",Local authorities in England,Announced 6 April 2020,"The regulations on meetings will enable essential decision-making to continue whilst upholding democratic principles and enabling all to comply with the public health guidance. The elections regulations also ensure that unnecessary risks to voters, the officers who run polling stations and counts, and campaigners are avoided.","Two sets of regulations have been made under the Coronavirus Act 2020. The first set enables all local authority meetings before 7 May 2021 to be held remotely and removes the requirement for the annual meeting this year. The second set postpones until 6 May 2021 local by-elections and other polls, either scheduled or which would otherwise arise before that date.",Gov.uk_letter,Measures to limit spread,Social distancing measures,NA,Wider policies
2020-04-08T00:00:00Z,2.81,NA,NA,NA,Pharmaceutical giants and diagnostic companies respond to governments call for support to roll out millions of COVID-19 tests,Department of Health and Social Care,na,Not stated,To rapidly develop and roll out millions of COVID-19 tests,The UK’s top pharmaceutical and diagnostic companies are teaming up to rapidly develop and roll out millions of coronavirus tests in the coming months as part of the next phase of the government’s 5-pillar national testing strategy to identify if people have the virus. A business consortium has been set up to rapidly develop new antibody tests.,Gov.uk_news,Measures to limit spread,"Testing, surveillance and contact tracing",NA,Wider policies
2020-04-09T00:00:00Z,2.82,NA,NA,NA,"Guidance published with advice on appropriate infection prevention and control precautions for patients recovering or recovered from COVID-19 and remaining in hospital, or being discharged to their own home or residential care",Public Health England,NHS trusts,Published 9 April 2020. Guidance later updated e.g. 23 April 2020 'added clarifications of testing capacity and strategy' and 20 May 2020 'updated guidance (all sections)',Not stated,"The main measures are around: (a) stopping of COVID-19 isolation and IPC measures if patient staying in hospital; (b) discharge of patients to own home (c) discharge to a single occupancy room in care facility, including nursing homes and residential homes (d) specific instructions for ongoing medical needs for severely immunosuppressed patients and those who have received critical care",Gov.uk_guidance,Measures to limit spread,Infection prevention and control,NA,Wider policies
2020-04-09T00:00:00Z,2.83,NA,NA,NA,Guidance published for laboratories seeking to support the COVID-19 testing programme,Department of Health and Social Care,"Laboratories or other organisations who are interested in supporting the NHS deliver testing for coronavirus, UK wide",Published 9 April 2020,Not stated,"The help that these organisations can provide to the NHS includes: (a) direct help, by partnering with local NHS trusts, (b) indirect help, by supporting the NHS through: (bi) Providing specialist workers (bii) sourcing, and providing critical items and equipment; (c) providing research capability to develop new assays or verification of test results, alternatives to the currently available reagents and/or to the overall testing pathway.",Gov.uk_guidance,Measures to limit spread,"Testing, surveillance and contact tracing",NA,Wider policies
2020-04-09T00:00:00Z,2.84,NA,NA,NA,Biggest diagnostic lab network in British history is launched at a new site in Milton Keynes to test for COVID-19,Department of Health and Social Care,The testing of NHS staff and their families currently in isolation will continue to be prioritised,Announced 9 April 2020,"The testing of NHS staff and their families currently in isolation will continue to be prioritised, allowing those testing negative, or with family members who test negative, to return to work.","The lab is the first of three ‘Lighthouse Labs’ to be set up across the country, dramatically increasing the number of COVID-19 tests that can take place each day. Each lab will have the capacity to test tens of thousands of patient samples each day, prioritising NHS staff to help them return to work. Two further Lighthouse Labs will be opened in Alderley Park and Glasgow in the next 2 weeks to further add lab capacity to test swabs for the virus.",Gov.uk_press release,Measures to limit spread,"Testing, surveillance and contact tracing",NA,Wider policies
2020-04-10T00:00:00Z,2.85,NA,NA,NA,A cross-government UK-wide plan is published to ensure that critical PPE is delivered to those on the front line responding to COVID-19,Department of Health and Social Care,Front-line workers,Published 10 April 2020,To allow those on the front line to do their jobs safely,The goal is 'that everyone should get the personal protective equipment (PPE) they need'. The plan incorporates three strands: (1) guidance on who needs PPE and when (2) distribution: making sure those who need PPE can get it and at the right time (3) future supply: taking action to secure enough PPE to see us through the crisis.,Gov.uk_policy paper,Measures to limit spread,Infection prevention and control,NA,Wider policies
2020-04-10T00:00:00Z,2.86,NA,NA,NA,Guidance on infection prevention and control measures is updated to allow for the use of disposable coveralls as an equivalent alternative to non-surgical disposable gowns,Public Health England with approval of Health and Safety Executive,Health and social care providers,Updated 10 April 2020. Major later updates logged separately,NA,NA,Gov.uk_guidance,Measures to limit spread,Infection prevention and control,NA,Wider policies
2020-04-14T00:00:00Z,2.87,NA,NA,NA,Former Olympics director Chris Townsend appointed to lead the cross government shielding programme in England,"Ministry of Housing, Communities & Local Government and The Rt Hon Robert Jenrick MP",na,Announced 14 April 2020,Shielding programme aims to protect those at highest risk from COVID-19,"Mr Townsend will spearhead the huge cross-government effort to ensure that clinically vulnerable people who are advised to shield will receive the vital food and medicine they need. The government’s shielding effort is already underway, and around 250,000 boxes of essential food have already been delivered by wholesalers to those at highest risk across the country, with hundreds of thousands more to follow in the coming weeks.",Gov.uk_news,Measures to limit spread,Shielding measures,NA,Wider policies
2020-04-15T00:00:00Z,2.88,NA,NA,NA,Government announces that testing will be offered to 'everyone who needs one' in social care settings,Department of Health and Social Care,Social care settings,Announced 15 April 2020,Because people in residential care are among the most vulnerable to coronavirus',"The measures announced are for: All symptomatic care residents will be tested for COVID-19 as testing capacity continues to increase; All patients discharged from hospital to be tested before going into care homes as a matter of course; and all social care staff who need a test will now have access to one with the Care Quality Commission (CQC) to contact all 30,000 care providers in the coming days to offer tests.",Gov.uk_news,Measures to limit spread,"Testing, surveillance and contact tracing",Linked to COVID-19 social care action plan published 16 April 2020,Wider policies
2020-04-15T00:00:00Z,2.89,NA,NA,NA,Guidance published who is eligible for a test and how to get tested,Department of Health and Social Care,na,Published 15 April 2020. Guidance regularly updated as testing criteria and delivery develops. Major updates logged separately,Not stated,As at 1 June 2020 guidance states that you can get throat and nose swab test for whether you currently have coronavirus as part of the 5-pillar strategy for coronavirus testing. Guidance includes: who can be tested; how to arrange a test if you’re an essential worker; the testing process; care home residents and workers (England only); list of essential workers and those prioritised for testing (England only),Gov.uk_guidance,Measures to limit spread,"Testing, surveillance and contact tracing",NA,Wider policies
2020-04-15T00:00:00Z,2.9,NA,NA,NA,Guidance published for commissioners and providers of services for people who use drugs or alcohol,Public Health England and Department of Health and Social Care,Commissioners and providers of services for people who use drugs or alcohol,Published 15 April 2020,"People who misuse or are dependent on drugs and alcohol may be at increased risk of becoming infected, and infecting others, with COVID-19. They may also be more vulnerable to the impact of infection with the virus, due to underlying conditions.",Guidance outlines: (1) drug and alcohol services should keep operating; (2) services should keep face-to-face contacts between staff and service users to a minimum (3) follow up-to-date guidance for infection prevention and control (4) arrangements for prescribing and dispensing of medicines used in drug and alcohol treatment will need to be changed (5) measures to reduce drug and alcohol-related harm should all be increased where possible( 6) usual expectations for monitoring and reporting can all be scaled back to enable services to focus on delivery.,Gov.uk_guidance,Measures to limit spread,Health and social care settings,NA,Wider policies
2020-04-16T00:00:00Z,2.91,NA,NA,NA,Government announce that current social distancing measures must remain in place for at least the next three weeks and outlines 5 tests for adjusting lockdown,Foreign Secretary,NA,Announced 16 April 2020 for a duration of at least three weeks,"Dominic Raab: 'The very clear advice we have received is that any change to our social distancing measures now would risk a significant increase in the spread of the virus. That would threaten a second peak of the virus, and substantially increase the number of deaths'","Raab outlines the criteria that would have to be met for any lockdown easing: 
1) Evidence that the NHS can cope across the UK 
2) A sustained fall in daily death rates 
3) Evidence that the rate of infection is decreasing 
4) Confidence that supplies of testing and PPE are able to meet demand 
5) No risk of a second peak",Gov.uk_speech,Measures to limit spread,Social distancing measures,NA,Wider policies
2020-04-17T00:00:00Z,2.92,NA,NA,NA,"Guidance on infection prevention and control measures is updated with considerations for acute PPE shortages stating that 'where there are acute shortages of PPE, and where it is safe to do so, it approves the sessional and reuse of PPE'",Public Health England,Clinicians and care professionals,Published 17 April 2020. Guidance later updated.,To optimise the supply of PPE in times of extreme shortages,"Guidance on the sessional and reuse of masks, gowns, eye protection, gloves and aprons. The reuse of PPE should be implemented only until confirmation of adequate re-supply is in place.",Gov.uk_guidance,Measures to limit spread,Infection prevention and control,NA,Wider policies
2020-04-17T00:00:00Z,2.93,NA,NA,NA,Access to testing in England expanded to include additional front-line workers and symptomatic members of their household,Department of Health and Social Care,Frontline workers,Announced 17 April 2020,Testing will allow those currently unable to return to work because they or a member of their family or household have symptoms of COVID-19 to know whether they do have the virus,"Front-line workers now eligible for testing will include the police, the fire service, frontline benefits workers and those working with vulnerable children and adults among others. Where there is extra testing capacity, testing will be expanded to other groups of workers that need it, including those delivering critical medical, energy, utility, transport and food supplies.",Gov.uk_news,Measures to limit spread,"Testing, surveillance and contact tracing",NA,Wider policies
2020-04-17T00:00:00Z,2.94,NA,NA,NA,Guidance published on 'how to work safely in care homes',Public Health England,Care workers working in care homes during sustained COVID-19 transmission in the UK,"Published 17 April 2020. Guidance later updated e.g. 15 June 2020 updated from the previous version of this document as follows:
• the title of this resource has changed from “How to work safely in care homes” to better reflect
the content.
• removal of table 3 for simplicity (the scenario previously described has been merged into Table 2)
• addition of questions and answers to Section 2
• addition of Section 3 relating to care for people with learning disabilities and/or autism.
• further explanation/minor changes to responses to selected questions in Section 2
• further detail added to recommendations including specification of surgical mask types
(defined in consultation with HSE and MHRA)",NA,"This resource applies the recommendations from the main PPE guidance to care home settings. It reflects the current context of sustained transmission in the UK. As at 22 April 2020, for simplicity, PPE for COVID-19 is recommended for all care homes during sustained COVID-19 transmission.",Gov.uk_guidance,Measures to limit spread,Health and social care settings,NA,Wider policies
2020-04-17T00:00:00Z,2.95,NA,NA,NA,"Government launches Vaccine Taskforce to drive forward, expedite and co-ordinate efforts to research and then produce a coronavirus vaccine","Department for Business, Energy & Industrial Strategy, Department of Health and Social Care, UK Research and Innovation, The Rt Hon Matt Hancock MP, and The Rt Hon Alok Sharma MP",na,NA,NA,NA,Gov.uk_press release,Measures to limit spread,Vaccine,NA,Wider policies
2020-04-18T00:00:00Z,2.96,NA,NA,NA,"Housing Secretary Robert Jenrick announces a 'large consignment' of PPE – including 400,000 gowns - will arrive in the UK from Turkey on 19 April",Housing Secretary Robert Jenrick,na,Announced 18 April 2020,Not stated,NA,Gov.uk_speech,Measures to limit spread,Infection prevention and control,NA,Wider policies
2020-04-19T00:00:00Z,2.97,NA,NA,NA,"Olympics chief, Lord Deighton, is brought in to lead the national effort to produce essential personal protective equipment for front line health and social care staff",Department of Health and Social Care and The Rt Hon Matt Hancock MP,na,Announced 19 April 2020,NA,NA,Gov.uk_news,Measures to limit spread,Infection prevention and control,NA,Wider policies
2020-04-20T00:00:00Z,2.98,NA,NA,NA,The second 'Lighthouse Lab' at Alderley Park in Cheshire becomes fully operational and has begun to test thousands of patient samples a day for COVID-19,Department of Health and Social Care,na,Announced 20 April 2020,Increasing the country’s capacity to test for coronavirus,"The lab is part of what will be the biggest network of diagnostic testing facilities in British history, testing samples from drive-through test sites across the country. The three Lighthouse Labs in Milton Keynes, Alderley Park and Glasgow have increased their staff with teams of highly qualified volunteers from industry and academia, supporting them to rapidly set up facilities with huge capacity to test patient samples.",Gov.uk_news,Measures to limit spread,"Testing, surveillance and contact tracing",NA,Wider policies
2020-04-22T00:00:00Z,2.99,NA,NA,NA,"All three 'Lighthouse Labs' in Milton Keynes, Glasgow and Alderley Park in Cheshire are now live and are testing thousands of patient samples for COVID-19",Department of Health and Social Care,na,Announced 22 April 2020,Increasing the country’s capacity to test for coronavirus,"The Lighthouse Labs will test samples from drive through testing sites, with new sites set up nearly each day across the UK. Work is ongoing to set up 50 of these drive-through sites, and there are now 27 in operation, including in Wembley, Manchester and Glasgow. Because of increased testing capacity the government is able to extend testing to a wider group of frontline workers in addition to patients, NHS or social care workers.",Gov.uk_news,Measures to limit spread,"Testing, surveillance and contact tracing",NA,Wider policies
2020-04-21T00:00:00Z,2.1,NA,NA,NA,Guidance published for people receiving direct payments,Department of Health and Social Care,"People who buy care and support through a direct payment, as well as local authorities, clinical commissioning groups and those who provide care and support","Published 21 April 2020. Later updated e.g. 10 June 2020, the document ‘Coronavirus (COVID-19): Q&A for people receiving a personal budget or personal health budget’ has been updated and renamed ‘Using direct payments during the coronavirus outbreak: full guidance for people receiving direct payments and personal assistants’. Changes to this document include the addition of case studies, and there are new sections on PPE, testing and the flexible of use of direct payments.
Two other documents have been added: ‘Guidance for commissioners, people receiving direct payments and care providers (easy read)’ and ‘Using direct payments during the coronavirus outbreak: the most important things to know’.
The document ‘Coronavirus (COVID-19): guidance for people receiving direct payments’ has been renamed ‘Guidance for commissioners, people receiving direct payments and care providers’.",To support planning and help slow the transmission of the coronavirus as the outbreak progresses across the country,"As at 7 May 2020, guidance includes: steps people who employ personal assistants via a direct payment should take; steps people who buy care and support or other services via a direct payment should take; What to do if your personal assistant is concerned that they have COVID-19; What to do if you, as the employer or buyer of a service, have symptoms of COVID-19.",Gov.uk_guidance,Measures to limit spread,Non-health and social care settings,Document has been renamed ‘Using direct payments during the coronavirus outbreak: full guidance for people receiving direct payments and personal assistants’,Wider policies
2020-04-21T00:00:00Z,2.101,NA,NA,NA,"Amendments are made to the Health Protection (Coronavirus, Restrictions) (England) Regulations 2020, including a new offence of 'being outside of' the place where a person is living without reasonable excuse",Matt Hancock,na,Amendments made 21 April 2020. Come into force 22 April 2020,"These Regulations are made in response to the serious and imminent threat to public health which
is posed by the incidence and spread of severe acute respiratory syndrome coronavirus 2 (SARSCoV-2) in England","Amendments to the regulations include: omitting the grounds surrounding a crematorium, including any burial ground or garden of remembrance from lockdown measures; a new offence for a person to be outside of the place where they are living without reasonable excuse; specifying that a relevant person exercising the power in Reg 8 (9)(c) may use reasonable force to remove a person in a gathering","Amendments to the Health Protection (Coronavirus, Restrictions) (England) Regulations 2020",Measures to limit spread,Legal change,NA,Wider policies
2020-04-22T00:00:00Z,2.102,NA,NA,NA,In the daily briefing Prof Chris Whitty says that social distancing measures will need to be in place for 'really quite a long period of time',Chris Whitty,na,Stated 22 April 2020,To suppress further outbreaks,"In the daily briefing, Chris Whitty says 'We have to be very realistic' [...] 'if people are hoping it’s suddenly going to move from where we are in lockdown to where suddenly into everything is gone, that is a wholly unrealistic expectation'. He says that the chances of a vaccine being ready for use this year are 'incredibly small', so social distancing measures will be needed to suppress outbreaks. Social distancing measures will need to be in place for 'really quite a long period of time'.",Gov.uk speech,Measures to limit spread,Social distancing measures,NA,Wider policies
2020-04-23T00:00:00Z,2.103,NA,NA,NA,"Testing extended to all essential workers in England and members of their household who are showing symptoms, new online booking system launched and additional testing methods rolled out",Department of Health and Social Care,Essential workers' in England who have symptoms,Announced 23 April 2020,Helping essential workers return to work if the test is negative,"All essential workers in England, and members of their households who are showing symptoms of coronavirus will now be able to get tested. A broad range of testing methods are being rolled-out to increase accessibility, including home testing kits, mobile testing sites and satellite testing kits. A new campaign is being launched to provide information for essential workers on how to get a test.",Gov.uk_news,Measures to limit spread,"Testing, surveillance and contact tracing",NA,Wider policies
2020-04-23T00:00:00Z,2.104,NA,NA,NA,"Matt Hancock announces new infrastructure to roll out contact tracing on a large scale, including an NHS contact tracing app and hiring 18,000 staff to work as contact tracers",Matt Hancock,na,Announced 23 April 2020,Matt Hancock: test track and trace will be vital to stop a second peak of the virus,"Letter to Directors of Public Health from PHE: The nation-wide, integrated model of contact tracing includes the use of both the Public Health England web-based Contact Tracing and Advisory Service and phone-based contact tracing, which complements the NHS app CV19, as well as the traditional methods of contact tracing.  There will be a national-level recruitment initially of around 18,000 staff (around 3,000 qualified public health and clinical professionals and around 15,000 call handlers) to undertake the phone-based contact tracing with both the cases and the contacts.",Gov.uk_letter to DsPH,Measures to limit spread,"Testing, surveillance and contact tracing",NA,Wider policies
2020-04-23T00:00:00Z,2.105,NA,NA,NA,"Government begins large-scale study to track COVID-19 in the general population – 20,000 households in England to be contacted to take part in the first wave
",Department of Health and Social Care,na,Announced 23 April 2020,To help improve understanding around the current rate of infection and how many people are likely to have developed antibodies to the virus,"This long-term study will track the spread of COVID-19 in general population. It will include antibody testing to help understand levels of immunity. The study forms part of the government’s COVID-19 testing strategy and adds to population data already being collected through the national surveillance programme operated by Public Health England. Up to 300,000 people are expected to take part over 12 months.",Gov.uk_press release,Measures to limit spread,"Testing, surveillance and contact tracing",NA,Wider policies
2020-04-26T00:00:00Z,2.106,NA,NA,NA,"Network of mobile COVID-19 testing units to be expanded – operated by the Armed Forces, targeting front-line workers",Department of Health and Social Care,na,Announced 26 April 2020,Increase access to testing for essential workers,"The units will respond to areas of highest demand, travelling to test front-line workers and the most vulnerable at sites including care homes, police stations and prisons. The new units will work alongside the country’s drive-through test sites, sending patient samples to the network of Lighthouse Labs.",Gov.uk_press_release,Measures to limit spread,"Testing, surveillance and contact tracing",NA,Wider policies
